SN,App ,Request Number ,Request Title,Request Description ,No of Comments,Comments ,Has questions?,Clear?,Questions Mentioned?,Does the question help for defect?,Notes,Does the discussion help to clarify ,Closed reason?
1,Mastodon,42,Make view from timeline back,"I like this , because it makes me feel I am not alone on then earth. Every time I view the post from different from the timeline, I can feel they are all alive, not only me. Every time, every second, I can meet new friend, maybe he is in Japan, having dinner, or In French.



Now the feature of viewing from timeline is not in mastondon-android. I like the hot trending, then I can know what people are talking now. But I feel lonely when use your app. I find out that it is because I cannot always read a new post, cannot always know who may be will be my friend, what he is doing ,worring. So I need this feature.",8,"

I don't mind mastondon being a second twitter, but although it is twitter, twitter also have the Option to view from the timeline.

When you follow people you will get their new posts in your home feed. 

> When you follow people you will get their new posts in your home feed.

But without timeline ,how can I follow interesting people? And what about the chance for the post of a nobody be seen by another ? 

> twitter also have the Option to view from the timeline.

What exactly do you mean by ‚Äúview from timeline‚Äù?

> > twitter also have the Option to view from the timeline.
> 
> What exactly do you mean by ‚Äúview from timeline‚Äù?

Sorry , I may got a mistake. The timeline of twitter is only for who your follow..I don't use twitter frequently. My friend has show the feature of twitter, then I mistake twitter has this feature

> But without timeline ,how can I follow interesting people?

Check the explore tab!

Is this issue about something meaningful, or is it safe to close?

> Is this issue about something meaningful, or is it safe to close?

Yes,I will close",Yes,Requester want to have a timeline like feature where they can see about users who they are not friends with but are out of their network. Like twitter has explore. ,What exactly do you mean by “view from timeline”?; ,No,"Feature exists; ""Check the explore tab!"" comment makes it clear that the feature exists already. ",Yes ,Existing Feature 
2,Mastodon ,107,Can't view image descriptions,"I know a screen reader can still read them, but it's important to me to see if there IS a description so I know if I can boost these posts to my disabled followers",2,"

I'd like to be able to view image descriptions without having to use a screen reader. ?ü§?

Maybe a duplicate? #100

Duplicate of #100",No,Requester wants a description similar to image description for the peoeple with disability,N/a,N/a,Duplicate request - request 100,Yes ,Duplicate Feature
3,Mastodon ,83,Cant log in,"I downloaded the Mastodon android app. I am using social.tchncs.de server, I typed the server address and selected it, when I press next it says ""preparing for authentication"" but it does not enter, I tried it on other servers, same problem exists.",4,"

Are you coming to the login page ?

> Are you coming to the login page ?

No

I am also experiencing this issue.
Creating accounts works fine but logging in into existing ones is where it fails.
I click login, select the server, opens a website asking if I Authorize the app, I click Authorize, It loads something but nothing else happens, if I switch back to the app nothing changed.

It may be because the redirect uri is wrong or the app is not configured to read the protocol",Yes,Requester isn't being able to login ,Are you coming to the login page ?;,No,This is a bug request marked as feature,Yes ,Not Closed
4,Mastodon,8,Add local and federated timeline,At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature. ,17,"

Without this feature, the app can only be used to a very limited extent.

At least have the local timeline, it is important for community-building on smaller instances, and smaller instances are what keep Mastodon from turning into Twitter.

If we just cater to big instances, the network will be vulnerable to being bought up, and all our efforts will be pointless.

Dont really see a point using this app without the local timeline.

Good design, but in the last smalll new users waves in Germany I was in contact to several New Accounts using the android Mastodon APP. They totally misunderstood the mastodon decentral aspect, as they don""t get the chance to feel it via this app and I failed explaining until I recognized, it's the app. People who have the spontaneous mood to try a 'new' social Network with a new app, don't like to be told, nice try, do it again, as the official app is only giving you a distortion of reality.
So add Local and Federated timeline, otherwise the approach of decentral instances and so a diverse alternative network will die and mastodon.social will be as social as Twitter.

On one hand I do understand the motivation in removing these timelines and I can begrudgingly accept that it probably is the best option for users coming from twitter. On the other hand I can't help, but feel this betrays the already existing user base, especially the users from smaller instances. The whole point of the Local timeline is to have a space for discussion with like minded people. That's why we have communities built around different themes. In essence that's exactly what separates Mastodon from Twitter. I don't want just an open source version of Twitter, that's not what I signed up for.

I feel there could be a sort of compromise here. Instead of outright removing the Local and Federated timelines, just hide them by default. That way people who know about them can use them, others don't even have to be aware of their existence.

It seems like the problem is this:

On large instances, the risks of a Local timeline outweigh the benefits. On large instances, the Local timeline is a firehose just like Federated, impossible to read and full of potentially nasty content but impossible to browse for fun. Seems like a no-brainer to zap Local.

On small instances, it's the other way around. The benefits of a Local timeline outweigh the risks, it's not a firehose, it helps build the community and people are much less likely to see nasty content because the moderators have better control over troublemakers. Removing Local seems like a bad idea.

I'm not sure how this situation can be resolved, maybe Local could be for instances below a certain size?

> I'm not sure how this situation can be resolved, maybe Local could be for instances below a certain size?

it depends on what kind of instances you want to focus on, if decentralize is the point we need to privilege small instances.

You can access the local timeline under search/community

I think **global timeline** is very important for smaller  instance. You need this to discover other people and to expand your visibility.

Local timeline was added (search -> community), and I believe there are no plans to add the federated timeline (@Gargron correct me if I'm wrong). One issue with adding a federated timeline is that it's more-or-less unmoderated and thus adds a non-zero risk of app stores, especially Google Play, rejecting the app over something outside of our control.

> I think **global timeline** is very important for smaller instance. You need this to discover other people and to expand your visibility.

The explore tab is in essence a moderated, quality-filtered federated timeline. Its purpose is to help you discover other people and expand your visibility, but without being a vector for spam and abuse. 

>One issue with adding a federated timeline is that it's more-or-less unmoderated and thus adds a non-zero risk of app stores, especially Google Play, rejecting the app over something outside of our control.

Do you have a specific play store rule in mind for that? 

> > One issue with adding a federated timeline is that it's more-or-less unmoderated and thus adds a non-zero risk of app stores, especially Google Play, rejecting the app over something outside of our control.
> 
> Do you have a specific play store rule in mind for that?

Examples from Mastodon apps specifically:

- [Tusky has been removed from the Play Store](https://chaos.social/@ConnyDuck/105904002285019275)
- [Fedilab has been removed from the Play Store](https://qoto.org/@freemo/104765288863293481)
- [Subway Tooter threatened to be removed from the Play Store](https://subwaytooter.hatenadiary.jp/entry/2020/09/01/161533)

Examples from other decentralized apps:

- [Element has been removed from the Play Store](https://element.io/blog/element-on-google-play-store/)

Examples from non-decentralized apps with user generated content:

- [Tumblr removed from the Apple App Store](https://www.theverge.com/2018/11/20/18104366/tumblr-ios-app-child-pornography-removed-from-app-store)

While all of them have been reinstated since with varying degrees of changes (Tumblr ended up banning all adult content from its platform altogether to avoid the issue), it is evident that Google (and Apple) hold apps accountable for user-generated content.

This commit of mine https://github.com/mastodon/mastodon-android/commit/318d271127be441ada22cff9d96ec74fcaa3d873 implements the federated timeline - you can use my fork (which I don't plan to release on the Play Store anyway), which has this and more features the official app won't implement: https://github.com/sk22/mastodon-android-fork#changes

There is now a conception going around, from users using the official Mastodon application, that once you join an instance, you're in an echo chamber.

If smaller developers of Tusky can get their application back on the play store, Then larger organizations such as Mastodon should have no problem negotiating with larger corporations.

Example of Misconceptions being spread.
https://mobile.twitter.com/VeryBadLlama/status/1589086085380190209

I'm not sure why this issue is closed. All the links posted by @Gargron are resolved.

What Play Store & Apple Store did makes no sense & so does the reasons provided.

If paedophiles watch child porn on chrome browser/safari in their mobiles (which they do), are Google/Apple going to remove these browsers from the store? Browser is just a client. It has no obligation to spy on users as to what content they are watching (if it spies, no one will use it even for legitimate purpose, let alone pedos).

This client app is just a tool to connect to any mastodon server & load content. Since the app got no control over the servers (nor should it), there is no good reason to ban official Mastodon app, let alone other clients. Here are my reasons why they cant ban this app for meeting basic expectations

1. What Apple & Google did makes no sense (explanation above)
2. Since mastodon has good visibility now, there will be tremendous public pressure to back off
3. Many lawyers would be willing to fight against unjust ban (if Big Tech bullies bans)

These Big tech bullies must have assumed people wont complain if they bully app developers (which they know they can do, thanks to ""legal"" monopolies they have which they ensured thru bribes to politicians to not break these monopolies), but since mastodon is mainstream app, they cant bully that easily now.

Incase of twitter, the data is stored on twitter servers. So, Apple & Google can bully. But incase of mastodon, the app has no business to know which instance its talking to & what content is being stored in it. So, this app cant be held liable to for any harmful content.

If issue is the threat of banning (which imo is not a legitimate concern), why not publish multiple versions of app to playstore, where new development happens on a canary version (to test waters in playstore with all experimental features), while main app is still available for download incase if canary version is banned (unlikely)?

& also publish same canary version to non-google repos too, but still certified by repo maintainers to be malware free, so people can still install it if BTB take it down & the issue is being litigated, people can still download feature rich app? And this allows stability in the main branch too so features can be promoted to main app if the feature is liked by people & is stable enough.

> a vector for spam and abuse

I understand this concern on giant instances like mastodon.social, where there will always be something improper in the federated timeline, but the experience on other instances is very different. Some options could be:
* make the federated timeline available only for smaller instances (under 500 active users?),
* make the federated timeline available only for instances with closed registration/registration by application,
* only show posts older than 8 hours (or whatever) on the federated timeline, so that there's time to moderate them;
* give some control to instance admins to decide whether the federated timeline will be shown to their users.

Of course at the moment mastodon.social looms large https://github.com/mastodon/mastodon-ios/issues/1023#issuecomment-1617386974 but in the future if the app gives more choice to users again we'll be able to see whether access to the federated timeline makes a difference in terms of user retention etc.",Yes,Requester wants a local and a federated timeline be added to mastodon,Do you have a specific play store rule in mind for that?;,No,The comments seem to be more from goal of the feature than defects. The discussion focus on why and why not the timelines should be added or not. One of the timeline is implemented but for security reason the second timeline is not implemented. Suggestion are provided. Federated timeline maybe unmoderated thereby making it a non-zero risk in regards to the app stores so app might be flagged/taken down.,Yes ,Privacy Concern
5,Mastodon,58,Feature: Open toot with another profile,"(As I just learned) it's possible to be logged in to multiple profiles in the Mastodon app. When coming across an interesting toot, one might want to boost it not only with the current profile but also with one of the other profiles.

Therefore, it would be useful if the three-dot menu of each toot contained an option to open it with another profile.

For reference, this is what the feature looks like in Tusky:

https://user-images.githubusercontent.com/52963327/164234244-dfaf697b-1032-4323-b88d-69b63b825fb6.mp4",2,"

Additionally boosting and commenting should be possible for all accounts signed in on a device without having to open the toot with the preferred account first. 

Maybe using long press on the existing buttons should open a context menu offering to use a different account for performing the interaction.

> Additionally boosting and commenting should be possible for all accounts signed in on a device without having to open the toot with the preferred account first. 

That might be difficult to implement because at click time we don't necessarily know whether the other accounts even have access to that post.

It could happen that, for example, you're able to view the post from account 1 but not from account 2 because it's been blocked by the author.

Or, in case of favouriting, the post may be followers-only but account 2 is not a follower.

Of course, it would be possible to just try the action and wait for a possible error message from the server, but I don't think that would be the best UX.
",No,Requester wants to have an option added that allows them to intereact with the same toot from multiple logged in accounts. ,N/a,N/a,No discussion for clarity,No,Not Closed
6,Mastodon,170,Option to hide reblogs from people you follow,In the dropdown on profiles.,3,"

this would be really useful

This appears to have already be implemented in https://github.com/mastodon/mastodon-android/commit/789d02d8103cab3a897ca8015b647bf8461d96e4 ?

What I would like to have the ability to do is toggle visibility of reblogs/boosts while looking at someone's profile, including mine (to answer: ""what did I/they write?"") - does this need of mine belong in a separate ticket or could it solve the same need expressed above ?",Yes,Requester wants to hide reblog from people they follow in the dropdown menu,"What I would like to have the ability to do is toggle visibility of reblogs/boosts while looking at someone's profile, including mine (to answer: ""what did I/they write?"") - does this need of mine belong in a separate ticket or could it solve the same need expressed above ?;",No,The question mentioned tries to address if another feature relates to this or needs a separate issue number.,No,Not Closed
7,Signal,72,Message content preview in notification bar,"I'd like to get a preview of the messagge in notification bar.
Could be also good a JB-style quick reply fuction.

Thanks for your working and this awesome software!
",4,"

The preview should only be visible if the textsecure key is cached. If not, it should just display that you receive an SMS. I don't know if android permits to update a notification or to delete an existing notification then recreate a new one though.


Using default SMS app that's possible so I think it could be also on text secure, of course using a cache password. And also when I receive a message and click on notification it asks me for the password also if it already cached. Do you know how to fix it? 


What I mean is that the preview should only be in cleartext if the key is cached, otherwise, it should just notify of one incoming message, without more details than existing now


0a8c62e0e3d574a0a0b2be0d0f6d098935fa2686
",No,Requester wants to be able to see a message preview in the notification,N/a,N/a,The discussion go more over the security concern rather than the implementation detail of clarification of how they want the preview to look like.,Yes ,Implemented
8,Signal,312,Need Batch Selection Mode for individual messages inside a conversation,"Deleting individual messages from a conversation is cumbersome and inefficient (Hold down on a message, then select Delete from popup menu, then select Yes on confirmation message, one message at a time).

By way of contrast, holding down on a conversation in the Conversations list initiates Batch Selection Mode, allowing user to select multiple conversations for an action (currently Delete is the only option). 

Being able to trim out fluff from a conversation but keep important messages would be a valuable feature. A similar Batch Selection Mode for individual messages within a conversation (as already exists in the default Android Text Message app) would provide this functionality.
",2,"

I think this should be closed as a duplicate. This issue is a lot older, but #786 is way more active.


agree, thanks!
",No,Requester wants to be able to delete multiple messages at a time from a conversation,N/a,N/a,Duplicate request - redirected to 786,No,Duplicate Feature
9,Signal,587,Support an 'invite friends' feature.,"How about having a handy link (and easily found) to allow users to share your app? 
",5,"

https://tinyurl.com/TextSecure => https://play.google.com/store/apps/details?id=org.thoughtcrime.securesms


You can do that for _any_ app on the Play Store's listing in the Play Store app in your device.


Dear Sir, 
I figured it owuld be possible to do that. The thing is - I don't know how to extract  alink to take someone directly to an app's page on the Playstore. If you can advise on that, that would be appreciated. Surely though - it would be easier to have an in-app ""share"" feature? 

Regards, 
Wilfrid K. 

---

Sent with K-@ Mail by Samsung Galaxy Note 2.
Secure your Email with PGP! Check out APG in the Android Playstore!
Secure your mobile!
http://www.whispersystems.org
Red Phone app: make secure calls with wi-fi or data, & not plan minutes! 

On Feb 7, 2014, Santoso Wijaya notifications@github.com wrote:

> You can do that for _any_ app on the Play Store's listing in the Play
> Store app in your device.
> 
> ---
> 
> Reply to this email directly or view it on GitHub:
> https://github.com/WhisperSystems/TextSecure/issues/587#issuecomment-34472558


Dear Sir 
Please disregard my last reply to this message. I have just figured out how to ""share"" the link to an app! 

Regards, 
Wilfrid K. 

---

Sent with K-@ Mail by Samsung Galaxy Note 2.
Secure your Email with PGP! Check out APG in the Android Playstore!
Secure your mobile!
http://www.whispersystems.org
Red Phone app: make secure calls with wi-fi or data, & not plan minutes! 

On Feb 7, 2014, Santoso Wijaya notifications@github.com wrote:

> You can do that for _any_ app on the Play Store's listing in the Play
> Store app in your device.
> 
> ---
> 
> Reply to this email directly or view it on GitHub:
> https://github.com/WhisperSystems/TextSecure/issues/587#issuecomment-34472558


hello
Add more emoji please, need too much
",No,Requester wants to be able to invite people to use the app,N/a,N/a,Redirected to app store to share link rather than in app,Yes ,Existing Feature 
10,Signal,937,Conversation View: Consistent message order,"Please correct me, but as far as I can tell, messages are sorted by time of arrival. However, since the messages are transported either via SMS or via Google Cloud Messaging, both of which don't guarantee ordering, messages may appear in the wrong order. This means that chat participants may see deviating orders of messages, replies to messages they don't even see. In theory, it's even possible that several messages from the same sender arrive and are displayed in wrong order.
- Idea 1: Sort the conversation view by ""sent"" timestamp. See also #806. Problem: What is the ""sent"" date? Is it reliable? Is it set by the client or the TS server (farm)?
- Idea 2: Give each message a sequence number generated by the TextSecure server. Sort conversation view according to those numbers. Problem: Many, but not all messages go through the TS server.
- Idea 3: Employ vector clocks.
",5,"

If it's an encrypted conversation, we can actually display pairwise messages in a cryptographically guaranteed order.


Sounds fancy ;-) I have just experienced another use-case to consider:

Just received a message sent 10:52, received 12:11. There were several messages in between. Of course, the 10:52 message shows last, and makes no sense in the context.

I know you can't get guarantees out of GCM, but maybe you can display a bubble like ""There should be a message here! 1 or more messages still in transit."" - once the message(s) arrive(s), replace the bubble with it/them.


Here's a third use case.

As a security conscious user, you frequently remove the battery from your phone.

When the battery is removed from the phone, on some models, the date and time reset to 00:00 01/01/1970, or some such.

Then text messages start arriving as soon as the network connection initializes.

The messages pile up at the top of the message thread. On long message threads, you have to scroll up for half an hour to see them. They are all in the wrong order. 

The more frequently this happens, the more messages gather at the top of the message thread appear in an asynchronous mess.

The only workaround is to turn on plane mode as the phone is booting up, and set the date right before turning it on again. 

Couldn't incoming messages just be added to the bottom of the thread, no matter what their timestamp is?


GitHub Issue Cleanup:
See #7598 for more information.


This feature request is being discussed and tracked [here](https://community.signalusers.org/t/message-ordering/2581).",No,Requester wants the message to populate in the time order it was sent ,N/a,N/a,Duplicate request - Directed to request 629,No,Duplicate Feature
